voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
6923.846153846153,346192.3076923077,0.5305832821093889,2.6529164105469444e-05,9.587929112426034e-05,0.0,0.0001224084552297298,1.3264582052734723e-09,0.00012240978168793506,1.3264582052734724e-08,0.00012242171981178253,1.3264582052734722e-07,0.00012254110105025713
7024.177257525083,351208.86287625413,0.5460716979554877,2.730358489777439e-05,9.86781322902652e-05,0.0,0.0001259817171880396,1.3651792448887193e-09,0.00012598308236728446,1.3651792448887195e-08,0.00012599536898048847,1.3651792448887194e-07,0.00012611823511252845
7124.508361204013,356225.41806020064,0.5617829367507955,2.8089146837539772e-05,0.00010151723877773178,0.0,0.00012960638561527156,1.4044573418769887e-09,0.00012960779007261343,1.4044573418769889e-08,0.00012962043018869033,1.4044573418769888e-07,0.00012974683134945925
7224.8394648829435,361241.97324414714,0.5777169984953119,2.88858499247656e-05,0.00010439661058666011,0.0,0.0001332824605114257,1.4442924962382795e-09,0.00013328390480392194,1.4442924962382797e-08,0.0001332969034363881,1.4442924962382797e-07,0.00013342688976104953
7325.170568561873,366258.52842809365,0.5938738831890372,2.969369415945186e-05,0.00010731624771705013,0.0,0.00013700994187650198,1.4846847079725931e-09,0.00013701142656120994,1.4846847079725932e-08,0.0001370247887235817,1.4846847079725932e-07,0.00013715841034729923
7425.501672240803,371275.08361204015,0.6102535908319713,3.051267954159856e-05,0.00011027615016890192,0.0,0.00014078882971050048,1.5256339770799281e-09,0.00014079035534447757,1.5256339770799284e-08,0.00014080408605027128,1.5256339770799283e-07,0.00014094139310820848
7525.832775919733,376291.63879598666,0.6268561214241141,3.13428060712057e-05,0.00011327631794221542,0.0,0.00014461912401342113,1.5671403035602852e-09,0.0001446206911537247,1.5671403035602854e-08,0.00014463479541645672,1.5671403035602853e-07,0.00014477583804377715
7626.163879598662,381308.1939799331,0.6436814749654654,3.2184073748273265e-05,0.00011631675103699063,0.0,0.00014850082478526388,1.6092036874136636e-09,0.00014850243398895128,1.6092036874136636e-08,0.00014851691682213802,1.6092036874136635e-07,0.00014866174515400525
7726.494983277592,386324.7491638796,0.6607296514560257,3.3036482572801286e-05,0.00011939744945322759,0.0,0.0001524339320260289,1.6518241286400642e-09,0.00015243558385015754,1.6518241286400643e-08,0.0001524504502673153,1.6518241286400642e-07,0.00015259911443889289
7826.826086956522,391341.3043478261,0.6780006508957949,3.390003254478974e-05,0.00012251841319092628,0.0,0.00015641844573571602,1.695001627239487e-09,0.00015642014073734324,1.6950016272394872e-08,0.0001564353957519884,1.6950016272394872e-07,0.00015658794589843998
